4,14578,7913,13231
4,5149,2935,5132
4,5021,2357,5485
4,4075,2336,4105
4,3962,2326,3950
4,4265,2346,4044
4,4263,2411,4158
4,4577,2801,4491
4,4754,2583,3955
4,4659,2596,4321
8,70422,40926,52011
8,71157,40735,51896
8,69259,39618,51626
8,36323,29693,36279
8,34178,29035,34959
8,44464,36804,32365
8,38452,26842,32420
8,70247,40622,43835
8,41724,31742,41653
8,49331,34318,56315
12,491979,425544,450370
12,477505,437397,512465
12,430645,444268,455192
12,456454,425709,468492
12,428654,454393,441132
12,458403,420903,441948
12,428209,449292,444280
12,456079,425223,442879
12,430942,477137,490482
12,431809,421925,466788
17,5576629,6971799,12200061
17,7362520,8910860,9112049
17,5605797,6243440,6361654
17,5650103,6190836,6420214
17,5657384,6418976,6355664
17,5641623,6164694,6327637
17,5566260,6190519,6351107
17,5602677,6199077,6428663
17,5594730,6272688,6425888
17,5609096,6212476,6991755
20,90117086,100287927,106345386
20,100733289,101588000,108229569
20,93718115,103782787,110332998
20,89385580,96948541,104441397
20,92171457,98018229,104955645
20,92970259,100340413,111208718
20,89980276,96945038,101546840
20,89727331,96931137,105972881
20,89416085,97203527,103434454
20,88703264,96857778,105506470
25,1431932368,1505290425,1693985911
25,1451023630,1501582618,1713078561
25,1482907727,1550965724,1924732229
25,1420342593,1489670237,1662296522
25,1415795179,1504873353,1677243994
25,1504153120,1527103627,1713345131
25,1524505084,1554309452,2147119081
25,1418514503,1496427073,1763235834
25,1441902379,1514606237,1747752186
25,1491877208,1489764563,1710477466
4.0,5530.3,3060.4,5287.2
8.0,52555.7,35033.5,43335.9
12.0,449067.9,438179.1,461402.8
17.0,5786681.9,6577536.5,7297469.2
20.0,91692274.2,98890337.7,106197435.8
25.0,1458295379.1,1513459330.9,1775326691.5
