4,15612,7332,14985
4,5911,2910,5914
4,5668,2767,5351
4,4841,2407,4650
4,4729,2329,4541
4,4866,2263,4985
4,5014,2491,4771
4,5275,2731,5132
4,4936,2310,4738
4,7398,2666,5051
8,83778,41070,69312
8,82768,41387,106451
8,77163,60957,68058
8,48253,29808,52292
8,44367,29142,73068
8,55069,35798,44167
8,47382,26902,44344
8,91058,35509,112825
8,50511,31260,52203
8,71865,36502,58788
12,580403,425908,790441
12,676560,434472,681603
12,600399,422683,659573
12,570343,444983,639056
12,597633,422138,692041
12,574260,420447,659044
12,594391,422865,662517
12,571006,434883,644989
12,590640,426220,660320
12,559690,454691,633657
16,14750643,9320609,22867985
16,10773208,8642594,12487761
16,7586918,6173342,9347969
16,7818752,6130929,8889270
16,7677406,6158092,8895181
16,7598558,6145193,8885477
16,7501221,6125448,8930227
16,7723238,6236804,8940302
16,7698477,6263001,8997796
16,7761702,6341856,8900672
20,123286707,102994268,146212589
20,125295510,104696595,145466425
20,128096282,105759178,148989039
20,123806439,98611566,141600134
20,122261658,100842381,143766625
20,126565298,102404558,148104897
20,118179615,96030047,142118136
20,120903792,98074422,144105128
20,120779575,100677506,142052012
20,121027599,98271192,144776839
24,1985699856,1624931542,2361512300
24,2080637792,1665702993,2389704589
24,2171086387,1812513677,2523790825
24,2018574012,1575454275,2333055229
24,1944604581,1570529313,2335269584
24,2060362972,1576642001,2385314437
24,1977608827,1579484967,2399563322
24,2016522371,1623102570,2393857658
24,1998026949,1637536559,2426199544
24,2034923146,1668475895,2359360253
4.0,6425.0,3020.6,6011.8
8.0,65221.4,36833.5,68150.8
12.0,591532.5,430929.0,672324.1
16.0,8689012.3,6753786.8,10714264.0
20.0,123020247.5,100836171.3,144719182.4
24.0,2028804689.3,1633437379.2,2390762774.1
