5,15877,7632,11922
4,6129,3188,4301
5,5562,2795,4296
4,5606,2534,3885
7,5068,2943,4003
7,5452,3281,4383
6,5085,2881,4240
6,14318,2903,13269
5,14264,2563,13186
6,5166,12575,4503
12,78078,67126,61256
11,83087,44687,57053
13,78676,46426,56133
16,47398,39058,43371
13,52451,41015,35396
11,51838,39113,38618
11,46468,31023,32621
13,94469,45866,57855
12,122242,35711,41703
12,60472,33408,47422
21,652077,560417,643802
21,603099,574447,664805
24,551898,560398,789452
21,585406,517146,609410
20,553972,521694,535814
19,577155,490321,745380
19,538786,532555,649957
23,574626,516512,632505
21,547556,537620,666989
24,553253,552689,650627
29,12732059,14058182,14220083
32,9917616,11565834,17120028
30,7528875,8681430,13995021
32,7285480,8227747,14072668
32,7395988,7872671,11782435
33,7416145,7892078,12858943
32,7348725,7976958,10823693
30,7322611,8024206,13132891
32,7481950,8356965,11854159
33,7448681,8333814,12922836
41,119679183,143272751,288347027
38,122793616,146926981,257978567
40,121890098,147601300,315259966
39,119390278,134786262,255512518
38,118010588,137247484,234653554
38,126367028,146806287,243583094
42,116963019,132156842,303131448
39,117976165,136160826,221424013
39,116558465,139165286,361864419
41,120421365,138493135,253758473
48,1939415788,2210425634,6142648841
50,1950900144,2183619946,5417115737
50,2072056682,2506517495,6730841569
48,1922824149,2128957945,6786349860
48,1942334729,2159084417,5148912680
51,2004501658,2240215560,6618094129
49,2038654476,2338213509,5118787636
45,1953452898,2262848913,5808202643
50,1997094793,2290359085,5172481163
51,1958997004,2193897496,5361301079
5.5,8252.7,4329.5,6798.8
12.4,71517.9,42343.3,47142.8
21.3,573782.8,536379.9,658874.1
31.5,8187813.0,9098988.5,13278275.7
39.5,120004980.5,140261715.4,273551307.9
49.0,1978023232.1,2251414000.0,5830473533.7
